Date,Number of Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,1
2020-01-27,1
2020-01-28,1
2020-01-29,1
2020-01-30,1
2020-01-31,1
2020-02-1,1
2020-02-2,1
2020-02-3,1
2020-02-4,1
2020-02-5,1
2020-02-6,1
2020-02-7,1
2020-02-8,1
2020-02-9,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-1,1
2020-03-2,1
2020-03-3,1
2020-03-4,3
2020-03-5,3
2020-03-6,3
2020-03-7,3
2020-03-8,3
2020-03-9,4
2020-03-10,5
2020-03-11,5
2020-03-12,6
2020-03-13,9
2020-03-14,14
2020-03-15,14
2020-03-16,17
2020-03-17,22
2020-03-18,29
2020-03-19,53
2020-03-20,65
2020-03-21,78
2020-03-22,95
2020-03-23,125
2020-03-24,152
2020-03-25,187
2020-03-26,256
2020-03-27,321
2020-03-28,403
2020-03-29,431
2020-03-30,464
2020-03-31,502
2020-04-1,606
2020-04-2,656
2020-04-3,711
2020-04-4,786
2020-04-5,834
2020-04-6,882
2020-04-7,931
2020-04-8,1016
2020-04-9,1079
2020-04-10,1138
2020-04-11,1221
2020-04-12,1277
2020-04-13,1283
2020-04-14,1299
2020-04-15,1376
2020-04-16,1425
2020-04-17,1795
2020-04-18,1835
2020-04-19,1860
2020-04-20,1930
2020-04-21,2000
2020-04-22,2125
2020-04-23,2205
2020-04-24,2293
2020-04-25,2350
2020-04-26,2395
2020-04-27,2523
2020-04-28,2689
2020-04-29,2815
2020-04-30,2940
2020-05-1,3047
2020-05-2,3102
2020-05-3,3163
2020-05-4,3337
2020-05-5,3451
2020-05-6,3633
2020-05-7,3798
2020-05-8,3992
2020-05-9,4085
2020-05-10,4128
2020-05-11,4267
2020-05-12,4392
2020-05-13,4545
2020-05-14,4677
2020-05-15,4852
2020-05-16,4968
2020-05-17,5019
2020-05-18,5220
2020-05-19,5371
2020-05-20,5563
2020-05-21,5723
2020-05-22,5889
2020-05-23,5989
2020-05-24,6068
2020-05-25,6138
2020-05-26,6387
2020-05-27,6603
2020-05-28,6824
2020-05-29,6992
2020-05-30,7123
2020-05-31,7229
2020-06-1,7423
2020-06-2,7634
2020-06-3,7862
2020-06-4,8081
2020-06-5,8291
2020-06-6,8438
2020-06-7,8558
2020-06-8,8825
2020-06-9,9067
2020-06-10,9335
2020-06-11,9634
2020-06-12,9910
2020-06-13,10136
2020-06-14,10285
2020-06-15,10653
2020-06-16,11187
2020-06-17,11769
2020-06-18,12420
2020-06-19,13142
2020-06-20,13621
2020-06-21,13902
2020-06-22,14778
2020-06-23,15801
2020-06-24,16855
2020-06-25,17879
2020-06-26,18868
2020-06-27,19490
2020-06-28,19942
2020-06-29,20996
2020-06-30,22059
2020-07-1,23049
2020-07-2,24009
2020-07-3,24788
2020-07-4,25155
2020-07-5,25589
2020-07-6,26638
2020-07-7,27739
2020-07-8,28805
2020-07-9,29786
2020-07-10,30772
2020-07-11,31340
2020-07-12,31717
2020-07-13,32624
2020-07-14,33519
2020-07-15,34439
2020-07-16,35296
2020-07-17,36125
2020-07-18,36573
2020-07-19,36909
2020-07-20,37487
2020-07-21,38121
2020-07-22,38698
2020-07-23,39213
2020-07-24,39758
2020-07-25,40074
2020-07-26,40330
2020-07-27,40868
2020-07-28,41366
2020-07-29,41896
2020-07-30,42363
2020-07-31,42846
2020-08-1,43127
2020-08-2,43338
2020-08-3,43753
2020-08-4,44231
2020-08-5,44639
2020-08-6,45011
